incident_number,external_reference,title,narrative,type_code,severity_code,status_code,source_code,weather_condition_code,primary_station_code,occurrence_at,reported_at,dispatch_at,arrival_at,resolved_at,location_lat,location_lng,location_wkt,location_geohash,address_line_1,address_line_2,city,region,postal_code,casualty_count,responder_injuries,estimated_damage_amount,is_active,metadata
INC-20250804-000011,EXT-64710,Grassland fire response,"Call received for wildland fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_WILDLAND,MODERATE,RESOLVED,FIELD_REPORT,CLEAR,STA-020,2025-08-04T18:14:11.139696+00:00,2025-08-04T18:23:11.139696+00:00,2025-08-04T18:28:11.139696+00:00,2025-08-04T18:34:11.139696+00:00,2025-08-04T21:59:11.139696+00:00,47.78469289114538,-122.45408795324492,POINT(-122.454088 47.784693),c22zv6zw,6773 Lawson Island,,Lake Casey,SD,05777,0,0,8670.1,False,"{""report_channel"":""call"",""triage_level"":""MODERATE"",""dispatch_console"":""QZRUNA"",""primary_station"":""STA-020""}"
INC-20251007-000012,EXT-25953,Electrical equipment fire,Units dispatched to reported electrical fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_ELECTRICAL,SEVERE,RESOLVED,NEIGHBOR_REPORT,WIND,STA-039,2025-10-07T03:21:52.139696+00:00,2025-10-07T03:25:52.139696+00:00,2025-10-07T03:30:52.139696+00:00,2025-10-07T03:45:52.139696+00:00,2025-10-07T05:04:52.139696+00:00,47.617318112052715,-122.29487982096478,POINT(-122.294880 47.617318),c23nch7w,8774 Johnson Lock,,Lake Robert,DE,98236,1,1,303838.25,False,"{""report_channel"":""mobile"",""triage_level"":""SEVERE"",""dispatch_console"":""XMECOF"",""primary_station"":""STA-039""}"
INC-20241231-000013,EXT-98680,Car fire with exposure risk,Dispatch for reported vehicle fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_VEHICLE,HIGH,RESOLVED,911,WIND,STA-022,2024-12-31T00:24:03.139696+00:00,2024-12-31T00:24:03.139696+00:00,2024-12-31T00:27:03.139696+00:00,2024-12-31T00:32:03.139696+00:00,2024-12-31T02:02:03.139696+00:00,47.64616711739913,-122.51042594813795,POINT(-122.510426 47.646167),c22zh1wx,25787 Catherine Passage,,Grahamshire,KY,42746,0,0,209557.55,False,"{""report_channel"":""mobile"",""triage_level"":""HIGH"",""dispatch_console"":""RFIZ"",""primary_station"":""STA-022""}"
INC-20250831-000014,EXT-49588,Apartment building fire,Dispatch for reported structure fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_STRUCTURE,MODERATE,RESOLVED,NEIGHBOR_REPORT,SNOW,STA-016,2025-08-31T17:02:08.139696+00:00,2025-08-31T17:05:08.139696+00:00,2025-08-31T17:11:08.139696+00:00,2025-08-31T17:17:08.139696+00:00,2025-08-31T19:25:08.139696+00:00,47.666492969948365,-122.30379691249017,POINT(-122.303797 47.666493),c23p0vmj,947 Micheal Spring Apt. 694,,Clarencebury,TX,41188,0,0,24138.77,False,"{""report_channel"":""call"",""triage_level"":""MODERATE"",""dispatch_console"":""TGFNIY"",""primary_station"":""STA-016""}"
INC-20250903-000015,EXT-62309,Manufacturing plant fire,Units dispatched to reported industrial fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_INDUSTRIAL,CRITICAL,RESOLVED,NEIGHBOR_REPORT,RAIN,STA-021,2025-09-03T11:55:32.139696+00:00,2025-09-03T12:01:32.139696+00:00,2025-09-03T12:01:32.139696+00:00,2025-09-03T12:14:32.139696+00:00,2025-09-03T15:34:32.139696+00:00,47.69838171169402,-122.34593002318557,POINT(-122.345930 47.698382),c22zrgnr,07562 Vaughn Loop,,North Brittany,MP,82714,0,0,482850.03,False,"{""report_channel"":""call"",""triage_level"":""CRITICAL"",""dispatch_console"":""OVTMDH"",""primary_station"":""STA-021""}"
INC-20250803-000016,EXT-38578,Residential structure fire,Response to structure fire alarm activation. Investigation revealed active fire in neighbor report. Aggressive interior attack mounted. Fire brought under control within kitchen area minutes.,FIRE_STRUCTURE,LOW,RESOLVED,NEIGHBOR_REPORT,RAIN,STA-032,2025-08-03T09:57:58.139696+00:00,2025-08-03T10:00:58.139696+00:00,2025-08-03T10:05:58.139696+00:00,2025-08-03T10:10:58.139696+00:00,2025-08-03T12:11:58.139696+00:00,47.51945112514608,-122.36679921134368,POINT(-122.366799 47.519451),c22yr6xh,2785 Lowe Ways Suite 973,,Finleyfort,VI,71413,0,0,0.0,False,"{""report_channel"":""call"",""triage_level"":""LOW"",""dispatch_console"":""OPWZ"",""primary_station"":""STA-032""}"
INC-20250907-000017,EXT-44198,Commercial vehicle fire,Dispatch for reported vehicle fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_VEHICLE,CRITICAL,RESOLVED,FIELD_REPORT,RAIN,STA-019,2025-09-07T23:02:11.139696+00:00,2025-09-07T23:06:11.139696+00:00,2025-09-07T23:11:11.139696+00:00,2025-09-07T23:27:11.139696+00:00,2025-09-08T02:33:11.139696+00:00,47.67902506484777,-122.44563465938222,POINT(-122.445635 47.679025),c22zjxty,5240 Moses Common Suite 747,,Elizabethfurt,VA,22133,0,0,193775.33,False,"{""report_channel"":""mobile"",""triage_level"":""CRITICAL"",""dispatch_console"":""KCWK"",""primary_station"":""STA-019""}"
INC-20221231-000018,EXT-21993,Power line fire hazard,"Initial report of electrical fire from security system source. Upon arrival, crews found active fire involvement. Defensive operations initiated due to building conditions. All exposures protected.",FIRE_ELECTRICAL,HIGH,RESOLVED,SECURITY,RAIN,STA-044,2022-12-31T18:59:38.139696+00:00,2022-12-31T19:03:38.139696+00:00,2022-12-31T19:09:38.139696+00:00,2022-12-31T19:26:38.139696+00:00,2022-12-31T19:44:38.139696+00:00,47.6003079669704,-122.28743639269493,POINT(-122.287436 47.600308),c23nc335,83301 Rivera Mountains,,East Randallton,AL,27295,0,0,210674.03,False,"{""report_channel"":""call"",""triage_level"":""HIGH"",""dispatch_console"":""JHYY"",""primary_station"":""STA-044""}"
INC-20250815-000019,EXT-26773,Warehouse fire response,Units dispatched to reported industrial fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_INDUSTRIAL,HIGH,CANCELLED,911,RAIN,STA-036,2025-08-15T15:55:46.139696+00:00,2025-08-15T16:02:46.139696+00:00,2025-08-15T16:04:46.139696+00:00,2025-08-15T16:15:46.139696+00:00,2025-08-15T18:54:46.139696+00:00,47.60018670589972,-122.34667594115234,POINT(-122.346676 47.600187),c22yzcmg,4019 Amanda Stream Apt. 262,,Smithside,DE,60110,1,1,458051.67,False,"{""report_channel"":""mobile"",""triage_level"":""HIGH"",""dispatch_console"":""ZUZW"",""primary_station"":""STA-036""}"
INC-20250829-000020,EXT-54932,Manufacturing plant fire,Dispatch for reported industrial fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_INDUSTRIAL,HIGH,RESOLVED,911,SNOW,STA-035,2025-08-29T20:35:04.139696+00:00,2025-08-29T20:36:04.139696+00:00,2025-08-29T20:42:04.139696+00:00,2025-08-29T21:00:04.139696+00:00,2025-08-29T23:47:04.139696+00:00,47.612431209487035,-122.30201978953527,POINT(-122.302020 47.612431),c23nbgw6,8516 Jack Dam Suite 530,,West Kristinaton,OR,48324,2,1,54180.54,False,"{""report_channel"":""mobile"",""triage_level"":""HIGH"",""dispatch_console"":""TXNRE"",""primary_station"":""STA-035""}"
INC-20250917-000021,EXT-41459,Vegetation fire spread,Dispatch for reported wildland fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_WILDLAND,LOW,RESOLVED,SECURITY,CLEAR,STA-022,2025-09-17T15:09:41.139696+00:00,2025-09-17T15:11:41.139696+00:00,2025-09-17T15:15:41.139696+00:00,2025-09-17T15:26:41.139696+00:00,2025-09-17T19:00:41.139696+00:00,47.66497377796593,-122.54610407197735,POINT(-122.546104 47.664974),c22z5mhs,27279 Perry Plaza,,Grahamshire,KY,42746,0,0,0.0,False,"{""report_channel"":""sensor"",""triage_level"":""LOW"",""dispatch_console"":""NPQNJ"",""primary_station"":""STA-022""}"
INC-20250220-000022,EXT-91878,Manufacturing plant fire,Dispatch for reported industrial fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_INDUSTRIAL,CRITICAL,RESOLVED,SECURITY,CLEAR,STA-003,2025-02-20T03:45:09.139696+00:00,2025-02-20T03:55:09.139696+00:00,2025-02-20T03:55:09.139696+00:00,2025-02-20T03:59:09.139696+00:00,2025-02-20T06:11:09.139696+00:00,47.71506186724289,-122.32814265451555,POINT(-122.328143 47.715062),c23p2q72,91088 Ashley Drive Apt. 587,,Lake Mark,WI,07832,0,0,450137.05,False,"{""report_channel"":""sensor"",""triage_level"":""CRITICAL"",""dispatch_console"":""JLZU"",""primary_station"":""STA-003""}"
INC-20251012-000023,EXT-17046,Grassland fire response,Units dispatched to reported wildland fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_WILDLAND,SEVERE,RESOLVED,911,HEAT,STA-010,2025-10-12T17:02:06.139696+00:00,2025-10-12T17:08:06.139696+00:00,2025-10-12T17:08:06.139696+00:00,2025-10-12T17:22:06.139696+00:00,2025-10-12T20:59:06.139696+00:00,47.47326522928799,-122.3629331718793,POINT(-122.362933 47.473265),c22ypd4p,65676 Miller Shore,,Wilsonshire,IA,76381,0,0,437435.65,False,"{""report_channel"":""sensor"",""triage_level"":""SEVERE"",""dispatch_console"":""GSGZUG"",""primary_station"":""STA-010""}"
INC-20250710-000024,EXT-30047,Grassland fire response,Units dispatched to reported wildland fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_WILDLAND,HIGH,RESOLVED,SECURITY,SNOW,STA-008,2025-07-10T22:15:23.139696+00:00,2025-07-10T22:25:23.139696+00:00,2025-07-10T22:31:23.139696+00:00,2025-07-10T22:42:23.139696+00:00,2025-07-10T22:59:23.139696+00:00,47.5746935857644,-122.28914048596037,POINT(-122.289140 47.574694),c23n9hxy,633 Reed Harbor Apt. 106,,North Richardmouth,AS,14823,0,0,75909.49,False,"{""report_channel"":""mobile"",""triage_level"":""HIGH"",""dispatch_console"":""NTAKFB"",""primary_station"":""STA-008""}"
INC-20250307-000025,EXT-90306,Factory fire suppression,"Call received for industrial fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_INDUSTRIAL,CRITICAL,RESOLVED,FIELD_REPORT,RAIN,STA-010,2025-03-07T04:17:46.139696+00:00,2025-03-07T04:27:46.139696+00:00,2025-03-07T04:30:46.139696+00:00,2025-03-07T04:48:46.139696+00:00,2025-03-07T07:33:46.139696+00:00,47.490944312804665,-122.37302814055977,POINT(-122.373028 47.490944),c22ypm6w,83028 Young Street Suite 995,,Wilsonshire,IA,76381,0,0,340717.86,False,"{""report_channel"":""sensor"",""triage_level"":""CRITICAL"",""dispatch_console"":""PHIL"",""primary_station"":""STA-010""}"
INC-20250426-000026,EXT-44089,Transformer fire response,Dispatch for reported electrical fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_ELECTRICAL,HIGH,RESOLVED,911,WIND,STA-019,2025-04-26T15:43:33.139696+00:00,2025-04-26T15:49:33.139696+00:00,2025-04-26T15:53:33.139696+00:00,2025-04-26T16:03:33.139696+00:00,2025-04-26T18:21:33.139696+00:00,47.67768741195076,-122.471418983026,POINT(-122.471419 47.677687),c22zjp7n,687 Teresa Row,,Elizabethfurt,VA,22133,0,0,43541.99,False,"{""report_channel"":""call"",""triage_level"":""HIGH"",""dispatch_console"":""TBKVPJ"",""primary_station"":""STA-019""}"
INC-20250913-000027,EXT-27086,Power line fire hazard,"Initial report of electrical fire from property owner source. Upon arrival, crews found active fire involvement. Defensive operations initiated due to building conditions. All exposures protected.",FIRE_ELECTRICAL,LOW,RESOLVED,BUSINESS_OWNER,HEAT,STA-028,2025-09-13T08:04:05.139696+00:00,2025-09-13T08:07:05.139696+00:00,2025-09-13T08:09:05.139696+00:00,2025-09-13T08:17:05.139696+00:00,2025-09-13T08:46:05.139696+00:00,47.63758901643189,-122.53221664847769,POINT(-122.532217 47.637589),c22z58nv,826 Jonathan Isle Apt. 751,,Stonemouth,PW,36959,0,0,0.0,False,"{""report_channel"":""mobile"",""triage_level"":""LOW"",""dispatch_console"":""LJNJFT"",""primary_station"":""STA-028""}"
INC-20250905-000028,EXT-54678,Transformer fire response,Dispatch for reported electrical fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_ELECTRICAL,SEVERE,RESOLVED,NEIGHBOR_REPORT,WIND,STA-033,2025-09-05T09:58:38.139696+00:00,2025-09-05T09:59:38.139696+00:00,2025-09-05T10:04:38.139696+00:00,2025-09-05T10:09:38.139696+00:00,2025-09-05T12:56:38.139696+00:00,47.62358772217785,-122.20501820533237,POINT(-122.205018 47.623588),c23ngjt5,4587 Garcia Stravenue Suite 535,,Knightburgh,GA,23447,0,0,327659.54,False,"{""report_channel"":""call"",""triage_level"":""SEVERE"",""dispatch_console"":""VDLHN"",""primary_station"":""STA-033""}"
INC-20250728-000029,EXT-37854,Multi-unit dwelling fire,Dispatch for reported structure fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_STRUCTURE,SEVERE,RESOLVED,SECURITY,RAIN,STA-041,2025-07-28T06:21:18.139696+00:00,2025-07-28T06:25:18.139696+00:00,2025-07-28T06:27:18.139696+00:00,2025-07-28T06:34:18.139696+00:00,2025-07-28T08:09:18.139696+00:00,47.74771341313586,-122.48974856023841,POINT(-122.489749 47.747713),c22zssjw,772 Jackson Stravenue Suite 280,,Nicholasberg,TX,62664,0,0,332756.9,False,"{""report_channel"":""mobile"",""triage_level"":""SEVERE"",""dispatch_console"":""BSXINV"",""primary_station"":""STA-041""}"
INC-20241107-000030,EXT-99770,Power line fire hazard,"Call received for electrical fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_ELECTRICAL,MODERATE,RESOLVED,BUSINESS_OWNER,WIND,STA-009,2024-11-07T00:46:37.139696+00:00,2024-11-07T00:54:37.139696+00:00,2024-11-07T00:54:37.139696+00:00,2024-11-07T01:07:37.139696+00:00,2024-11-07T05:01:37.139696+00:00,47.52922361459743,-122.19803290944158,POINT(-122.198033 47.529224),c23n7k6j,860 Alyssa Harbor,,Barreraburgh,MS,00783,0,0,38783.79,False,"{""report_channel"":""call"",""triage_level"":""MODERATE"",""dispatch_console"":""YAQJPV"",""primary_station"":""STA-009""}"
INC-20250515-000031,EXT-11823,Passenger vehicle fully involved,"Initial report of vehicle fire from 911 emergency call source. Upon arrival, crews found active fire involvement. Defensive operations initiated due to building conditions. All exposures protected.",FIRE_VEHICLE,SEVERE,RESOLVED,911,HEAT,STA-033,2025-05-15T11:19:37.139696+00:00,2025-05-15T11:19:37.139696+00:00,2025-05-15T11:24:37.139696+00:00,2025-05-15T11:42:37.139696+00:00,2025-05-15T15:35:37.139696+00:00,47.64208667089435,-122.21102665870215,POINT(-122.211027 47.642087),c23p50bx,845 Norton Common,,Knightburgh,GA,23447,0,0,140031.69,False,"{""report_channel"":""call"",""triage_level"":""SEVERE"",""dispatch_console"":""XXMKP"",""primary_station"":""STA-033""}"
INC-20250511-000032,EXT-01666,Vegetation fire spread,Dispatch for reported wildland fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_WILDLAND,CRITICAL,RESOLVED,NEIGHBOR_REPORT,HEAT,STA-021,2025-05-11T15:25:10.139696+00:00,2025-05-11T15:25:10.139696+00:00,2025-05-11T15:27:10.139696+00:00,2025-05-11T15:45:10.139696+00:00,2025-05-11T18:53:10.139696+00:00,47.68677446816375,-122.37789709083364,POINT(-122.377897 47.686774),c22zr1p5,02176 Knight Walks Apt. 803,,North Brittany,MP,82714,0,0,111749.1,False,"{""report_channel"":""call"",""triage_level"":""CRITICAL"",""dispatch_console"":""UJDO"",""primary_station"":""STA-021""}"
INC-20251004-000033,EXT-89025,Utility structure fire,Dispatch for reported electrical fire at commercial structure. Heavy fire conditions encountered upon arrival. Multiple alarm response requested. Fire contained to area of origin.,FIRE_ELECTRICAL,CRITICAL,CANCELLED,FIRE_ALARM,CLEAR,STA-039,2025-10-04T09:49:28.139696+00:00,2025-10-04T09:55:28.139696+00:00,2025-10-04T09:55:28.139696+00:00,2025-10-04T10:09:28.139696+00:00,2025-10-04T11:20:28.139696+00:00,47.627299670219195,-122.29860653113239,POINT(-122.298607 47.627300),c23ncn2c,92614 Anne Port,,Lake Robert,DE,98236,0,0,256127.21,False,"{""report_channel"":""call"",""triage_level"":""CRITICAL"",""dispatch_console"":""JCTMP"",""primary_station"":""STA-039""}"
INC-20251017-000034,EXT-19431,Manufacturing plant fire,Units dispatched to reported industrial fire with visible flames. First arriving engine reported heavy smoke conditions. Primary search conducted with negative results. Fire suppression operations established.,FIRE_INDUSTRIAL,SEVERE,REPORTED,NEIGHBOR_REPORT,SNOW,STA-046,2025-10-17T13:10:01.139696+00:00,2025-10-17T13:10:01.139696+00:00,,,,47.58271107106453,-122.32351942009507,POINT(-122.323519 47.582711),c23n8qnt,2626 Ward Course,,East Curtis,KS,26357,0,0,99596.2,True,"{""report_channel"":""call"",""triage_level"":""SEVERE"",""dispatch_console"":""XXNF"",""primary_station"":""STA-046""}"
INC-20250825-000035,EXT-86101,Industrial facility fire,"Call received for industrial fire with smoke visible. Crews arrived to find well-involved fire. Ladder operations established for roof ventilation. Fire extinguished, no civilian injuries.",FIRE_INDUSTRIAL,LOW,RESOLVED,SECURITY,SNOW,STA-021,2025-08-25T22:29:19.139696+00:00,2025-08-25T22:35:19.139696+00:00,2025-08-25T22:36:19.139696+00:00,2025-08-25T22:53:19.139696+00:00,2025-08-26T00:32:19.139696+00:00,47.66969073587182,-122.3367969676458,POINT(-122.336797 47.669691),c23p0nj0,199 Shields Bridge Suite 661,,North Brittany,MP,82714,2,0,0.0,False,"{""report_channel"":""sensor"",""triage_level"":""LOW"",""dispatch_console"":""UVYDIT"",""primary_station"":""STA-021""}"
INC-20251008-000036,EXT-79937,Electrical panel fire,"Initial report of electrical fire from field observation source. Upon arrival, crews found active fire involvement. Defensive operations initiated due to building conditions. All exposures protected.",FIRE_ELECTRICAL,LOW,RESOLVED,FIELD_REPORT,SNOW,STA-034,2025-10-08T19:29:09.139696+00:00,2025-10-08T19:31:09.139696+00:00,2025-10-08T19:34:09.139696+00:00,2025-10-08T19:53:09.139696+00:00,2025-10-08T21:42:09.139696+00:00,47.63788498695948,-122.55768310210101,POINT(-122.557683 47.637885),c22z50hn,40659 Brock Isle,,South Melissa,CT,31592,0,0,0.0,False,"{""report_channel"":""mobile"",""triage_level"":""LOW"",""dispatch_console"":""RQSYH"",""primary_station"":""STA-034""}"
